flavor,size,product_description,ingredients,allergens,servings_per_containter,serving_size,calories_per_serving,calories_per_pint,total_fat_per_serving,total_fat_per_pint,total_fat_daily_value_per_serving,total_fat_daily_value_per_pint,saturated_fat_per_serving,saturated_fat_per_pint,saturated_fat_daily_value_per_serving,saturated_fat_daily_value_per_pint,trans_fat_per_serving,trans_fat_per_pint,trans_fat_daily_value_per_serving,trans_fat_daily_value_per_pint,cholesterol_per_serving,cholesterol_per_pint,cholesterol_daily_value_per_serving,cholesterol_daily_value_per_pint,sodium_per_serving,sodium_per_pint,sodium_daily_value_per_serving,sodium_daily_value_per_pint,total_carbohydrate_per_serving,total_carbohydrate_per_pint,carbohydrate_daily_value_per_serving,carbohydrate_daily_value_per_pint,dietary_fiber_per_serving,dietary_fiber_per_pint,dietary_fiber_daily_value_per_serving,dietary_fiber_daily_value_per_pint,total_sugars_per_serving,total_sugars_per_pint,includes_added_sugars_per_serving,includes_added_sugars_per_pint,daily_value_added_sugars_per_serving,daily_value_added_sugars_per_pint,protein_per_serving,protein_per_pint,protein_daily_value_per_serving,protein_daily_value_per_pint,vitamind_per_serving,vitamind_per_pint,vitamind_daily_value_per_serving,vitamind_daily_value_per_pint,calcium_per_serving,calcium_per_pint,calcium_daily_value_per_serving,calcium_daily_value_per_pint,iron_per_serving,iron_per_pint,iron_daily_value_per_serving,iron_daily_value_per_pint,potassium_per_serving,potassium_per_pint,potassium_daily_value_per_serving,potassium_daily_value_per_pint,vitamin_a,vitamin_a_daily_value_per_serving,category--Ice cream,category--Frozen Custard,category--Sherbert,category--Sorbet,category--Gelato,category--Churned,category--No Fat No Sugar,category--Reduced Fat,category--Gustafson's,category--Yogurt,category--Candy,category--Caramel,category--Chocolate,category--Cookies,category--Coffee,category--Fruit,category--Fudge,category--Mint,category--Nuts,category--Vanilla,allergy_icons--gluten-free,allergy_icons--peanut-free,allergy_icons--dairy-free,allergy_icons--nut-free
Rainbow Sherbet,quart,"Lime, Orange, and Raspberry Flavored Sherbets Swirled Together","INGREDIENTS: NONFAT Milk, SUGAR, WATER, CORN SYRUP, CREAM,ORANGEPUREE CONCENTRATE[WATER,ORANGE JUICE CONCENTRATE, ORANGE PULP, CORN SYRUP, NATURAL FLAVOR, YELLOW 6 (COLOR)], LIME PUREE CONCENTRATE [WATER, CONCENTRATED LIME JUICE, ORANGE PULP, CORN SYRUP, NATURAL FLAVOR, YELLOW 5 AND BLUE 1 (COLOR), CITRIC ACID], RASPBERRY PUREE [HIGH FRUCTOSE CORN SYRUP, WATER, RASPBERRY PUREE, CONCENTRATED RASPBERRY JUICE, NATURALANDARTIFICIAL FLAVORS, MALIC ACID, RED 40 AND BLUE 1 (COLOR)], WHEY, CITRIC ACID, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], RED RASPBERRY FLAVOR [RASPBERRY PUREE, SUGAR, NATURAL FLAVOR WITH OTHER NATURAL FLAVORS, WATER, CITRIC ACID, GUM TRAGACANTH, CARAMEL COLOR, RED 40, BLUE 1, YELLOW 5 & 6, (COLOR)].",Milk,6,2/3  cup (114g),160,,2g,,3%,,1g,,5%,,0g,,,,5mg,,2%,,30mg,,1%,,35g,,13%,,0g,,0%,,27g,,25g,,50%,,1g,,,,0mg,,0%,,46mg,,4%,,0mg,,0%,,70mg,,2%,,,,,,x,,,,,,,,,,,,,x,,,,,X,X,,X
Triple Citrus ,quart,"Lemon, Lime and Orange flavored Sherbet","INGREDIENTS: NONFAT Milk, SUGAR, WATER, CORN SYRUP, CREAM, CITRIC ACID, ORANGE PUREE CONCENTRATE [WATER, ORANGE JUICE CONCENTRATE, ORANGE PULP, CORN SYRUP, NATURAL FLAVOR, YELLOW 6 (COLOR)], LEMON PUREE CONCENTRATE [WATER, LEMON PULP, LEMON JUICE CONCENTRATE. CORN SYRUP, NATURAL FLAVOR], LIME PUREE CONCENTRATE [WATER, CONCENTRATED LIME JUICE, ORANGE PULP, CORN SYRUP, NATURAL FLAVOR, YELLOW 5 AND BLUE 1 (COLOR), CITRIC ACID], WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], YELLOW 5 (COLOR), YELLOW 6 (COLOR), BLUE 1 (COLOR).",Milk,6,2/3  cup (114g),160,,2g,,3%,,1g,,5%,,0g,,,,5mg,,2%,,30mg,,1%,,35g,,13%,,0g,,0%,,27g,,25g,,50%,,1g,,,,0mg,,0%,,46mg,,4%,,0mg,,0%,,69mg,,2%,,,,,,x,,,,,,,,,,,,,x,,,,,X,X,,X
Raspberry Sherbet,quart,Raspberry flavored sherbet,"INGREDIENTS: NONFAT Milk, SUGAR, WATER, CORN SYRUP, CREAM,RASPBERRYPUREE [FRUIT JUICE CONCENTRATE (RASPBERRY JUICE CONCENTRATE, PLUM JUICE CONCENTRATE), WATER, CORN SYRUP, RASPBERRIES, NATURAL AND ARTIFICIAL FLAVORS, RED 40 (COLOR)], RASPBERRY PUREE [HIGH FRUCTOSE CORN SYRUP, WATER, RASPBERRY PUREE, CONCENTRATED RASPBERRY JUICE, NATURAL AND ARTIFICIAL FLAVORS, MALIC ACID, RED 40 AND BLUE 1 (COLOR)], WHEY, RED RASPBERRY FLAVOR BASE [RASPBERRY PUREE, SUGAR, NATURAL FLAVOR WITH OTHER NATURAL FLAVORS, WATER, CITRIC ACID, GUM TRAGACANTH, CARAMELCOLOR,RED40AND BLUE 1 (COLOR)], CITRIC ACID, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], RED 40 AND BLUE 1 (COLOR",Milk,6,2/3  cup (114g),160,,2g,,3%,,1g,,5%,,0g,,,,5mg,,2%,,30mg,,1%,,36g,,13%,,0g,,0%,,28g,,25g,,50%,,1g,,,,0mg,,0%,,50mg,,4%,,0mg,,0%,,70mg,,2%,,,,,,x,,,,,,,,,,,,,x,,,,,X,X,,X
After Dinner Mint,scround,Chocolate & Mint Flakes in WhiteMint Ice Cream,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, MINT FLAKE [SUGAR, COCONUT OIL, BUT TERMilk POWDER, COCOA PROCESSED WITH ALKALI, PARTIALLY HYDROGENATED COCONUT OIL, COCOA POWDER, NATURAL FLAVOR, SALT, Soy LECITHIN (EMULSIFIER), YELLOW 5 AND BLUE 1 (COLOR)], CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], NATURAL FLAVOR, SEA SALT. CONTAINS: Milk, Soy. ","Milk, Soy",9,2/3  cup (91g),210,,12g,,15%,,8g,,40%,,0g,,0%,,25mg,,0%,,160mg,,0%,,24g,,0%,,0g,,0%,,20g,,15g,,0%,,3g,,0%,,0mg,,0%,,110mg,,0%,,0mg,,0%,,176mg,,0%,,,,x,,,,,,,,,,,,x,,,,,x,,,X,X,,
Birthday Cake,scround,Yellow Cake Flavored Ice Cream Blended with Cake Pieces and Sprinkled with Multi-Colored Candy Pieces ,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CAKE PIECES [SUGAR, WHEAT FLOUR, WATER, PALM OIL, SPRINKLES (SUGAR, CORN STARCH, PALM OIL, PALM KERNEL OIL, SUNFLOWER LECITHIN, DEXTRIN, CONFECTIONER'S GLAZE, COLORS {YELLOW 5 LAKE, RED 40 LAKE, YELLOW 6 LAKE, BLUE 1 LAKE, RED 3}, NAT URAL AND ARTIFICIAL FLAVOR, CARNAUBA WAX, BLUE 1 {COLOR}), EGG WHITES, CORN STARCH,NATURAL AND ARTIFICIAL VANILLA, SALT, Soy LECITHIN {EMULSIFIER}, NATURAL FLAVOR], CORN SYRUP, SEQUINS [SUGAR, RICE FLOUR, VEGETABLE OIL (PALM KERNEL AND/OR PALM OIL), CORN STARCH, GUM ARABIC, CELLULOSE GUM, CONFECTIONER'S GLAZE, CARRAGEENAN, Soy LECITHIN (EMULSIFIER), COLORS (YELLOW 6, RED 40, YELLOW 5, BLUE 1, BLUE 2 LAKE), ARTIFICIAL FLAVOR], WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], NATURAL AND ARTIFICIAL FLAVOR, SEA SALT. CONTAINS: Milk, WHEAT, Soy, EGGS. ","Egg, Milk, Soy, Wheat",9,2/3  cup (92g),200,,11g,,14%,,7g,,35%,,0g,,0%,,25mg,,0%,,70mg,,0%,,25g,,0%,,0g,,0%,,19g,,14g,,0%,,3g,,0%,,0mg,,0%,,104mg,,0%,,0mg,,0%,,164mg,,0%,,,,x,,,,,,,,,,x,,,,,,,,,,,,,
Black Cherry,scround,Black Cherry Flavored Ice Cream with Black Cherries,"INGREDIENTS: NONFATMilk, CREAM, BUTTERMilk, SUGAR, BLACK CHERRIES [CHERRIES, WATER, CORN SYRUP, SUGAR, LOCUST BEAN GUM, CARRAGEENAN, CITRIC ACID, ARTIFICIALAND NATURAL FLAVORS, RED 40, BLUE 1], CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], FLAVOR AND COLORING [WATER, ARTIFICIAL FLAVOR, RED 40, BLUE 1, CITRIC ACID], CITRIC ACID, SEA SALT. CONTAINS: Milk. ",Milk,9,2/3  cup (92g),180,,9g,,12%,,6g,,30%,,0g,,0%,,25mg,,0%,,65mg,,0%,,23g,,0%,,0g,,0%,,20g,,14g,,0%,,3g,,0%,,0mg,,0%,,111mg,,0%,,0mg,,0%,,162mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,,X,X,,
Banana Split,scround,"Banana flavored Ice Cream with Crushed Pineapple, Chocolate Fudge Pieces, and a Strawberry Swirl","INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, BANANA PUREE [CORN SYRUP, BANANA PUREE, WATER, HIGH FRUCTOSE CORN SYRUP, SUGAR, NATURAL FLAVORS, CELLULOSE GUM, CITRIC ACID], STRAWBERRY SWIRL [CORN SYRUP, STRAWBERRIES, SUGAR, WATER, MODIFIED CORN STARCH, NATURAL FLAVORS, CITRIC ACID, CELLULOSE GUM, GUAR GUM, RED 40 (COLOR)], PINEAPPLE [PINEAPPLE, SUGAR, CORN SYRUP, LOCUST BEAN GUM, CITRIC ACID, ASCORBIC ACID, TURMERIC (COLOR), YELLOW 6 
(COLOR)], FUDGE PIECE [SUGAR, COCONUT OIL, COCOA PROCESSED WITH ALKALI, Peanut OIL (REFINED), COCOA, NATURAL FLAVOR, Soy LECITHIN], CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], SEA SALT. CONTAINS: Milk, Soy. ","Milk, Soy",9,2/3  cup (101g),220,,10g,,13%,,6g,,30%,,0g,,0%,,20mg,,0%,,60mg,,0%,,31g,,0%,,1g,,0%,,25g,,20g,,0%,,3g,,0%,,0mg,,0%,,92mg,,0%,,1mg,,0%,,181mg,,0%,,,,x,,,,,,,,,,,,,,,x,x,,,,,,,
Blueberry Wafflecone,scround,Chocolate Covered Waffle Cone Pieces in Blueberry Flavored Ice Cream with a Blueberry Swirl ,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, BLUEBERRY SWRIL [BLUEBERRIES, SUGAR, WATER, MODIFIED CORN STARCH, NATURAL FLAVOR], CONE PIECES [SUGAR, DRUMSTICK BISQUE (BLEACHED WHEAT FLOUR, SUGAR, CONTAINS 2% OR LESS OF VEGETABLE SHORTENING {SoyBEAN OIL, PALM OIL, Soy LECITHIN}, SALT, CARAMEL COLOR, ARTIFICIAL FLAVOR), COCONUT OIL, CHOCOLATE LIQUOR, BUTTERMilk POWDER, SKIM Milk POWDER, SALT, NATURAL FLAVOR], WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], FRUIT FLAVORS[WATER,CONCENTRATED FRUIT JUICE (BLUEBERRY, APPLE AND ELDERBERRY), SUGAR, NATURAL FLAVOR, CITRIC ACID], SEA SALT. CONTAINS: Milk, WHEAT, Soy. ","Milk, Soy, Wheat",9,2/3  cup (95g),210,,11g,,14%,,8g,,40%,,0g,,0%,,25mg,,0%,,75mg,,0%,,26g,,0%,,0g,,0%,,22g,,16g,,0%,,3g,,0%,,0mg,,0%,,106mg,,0%,,0mg,,0%,,160mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,,,X,,
Blue Moon,scround,Blue Ice Cream with an Almond Flavor,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CORN SYRUP, WHEY, NATURAL AND ARTIFICIAL FLAVORS, BLUE 1 (COLOR), STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], SEA SALT. ",Milk,9,2/3  cup (87g),180,,10g,,13%,,7g,,35%,,0g,,0%,,25mg,,0%,,65mg,,0%,,20g,,0%,,0g,,0%,,16g,,11g,,0%,,3g,,0%,,0mg,,0%,,109mg,,0%,,0mg,,0%,,166mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,,,,,
Butter Pecan,scround,Butter Pecan Flavored Ice Creamwith Pecans,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CORN SYRUP, PECANS [PECANS, COTTONSEED OIL, BUTTER (CREAM, NATURAL FLAVORING), SALT], WHEY, BUTTER PECAN FLAVOR [NATURAL FL-AVOR, WATER, SALT, Soy SAUCE, SUGAR], STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, ANNATTO EXTRACT (COLOR), SEA SALT. CONTAINS: Milk, TREENUTS, Soy.","Milk, Treenuts, Soy",9,2/3  cup (88g),210,,14g,,18%,,7g,,35%,,0g,,0%,,25mg,,0%,,110mg,,0%,,19g,,0%,,1g,,0%,,16g,,10g,,0%,,3g,,0%,,0mg,,0%,,107mg,,0%,,0mg,,0%,,181mg,,0%,,,,x,,,,,,,,,,,,,,,,,,x,,,,,
Carmel Collision,scround,Caramel Ice Cream with a Caramel Swirl and Chocolate Coated Caramel Mini Cups,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, DULCE DE LECHE SWIRL [SUGAR, CONDENSED SKIM Milk, HIGH FRUCTOSE CORN SYRUP, WATER, BUTTER (CREAM, SALT), COCONUT OIL, CORN SYRUP, SALT, NATURALANDARTIFICIAL FLAVORING, PECTIN], CORN SYRUP, Milk CHOCOLATE CARAMEL CUPS [SUGAR, COCONUT OIL, CORN SYRUP, SWEETENED CONDENSED WHOLE Milk (Milk, SUGAR), NONFAT Milk, Milk, COCOA PROCESSED WITH ALKALI, HEAW CREAM, BUTTER (CREAM, SALT), PALM KERNEL OIL, Soy LECITHIN (EMULSIFIER), NATURALAND ARTIFICIAL FLAVORS, SALT], CARAMEL BASE [CORN SYRUP,SUGAR,WATER,BUTTER(CREAM, SALT), CONDENSED SKIM Milk, CARAMELCOLOR,ANNATTO COLOR, NATURAL AND ARTIFICIAL FLAVORING, CARRAGEENAN], WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], SEA SALT. CONTAINS: Milk, Soy.",Milk Soy,9,2/3  cup (96g),230,,12g,,15%,,8g,,40%,,0g,,0%,,30mg,,0%,,105mg,,0%,,29g,,0%,,0g,,0%,,23g,,18g,,0%,,3g,,0%,,1mg,,0%,,110mg,,0%,,0mg,,0%,,175mg,,0%,,,,x,,,,,,,,,,,x,,,,,,,,,X,X,,
Chocolate Chip Cookie Dough,scround,Cookie Dough Pieces and Chocolate Chips Blended in Cookie Dough Flavored Ice Cream,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CHOCOLATE CHIP COOKIE DOUGH [WHEAT FLOUR, SUGAR, BROWN SUGAR, BUTTER, WATER, SoyBEAN OIL, CHOCOLATE CHIPS (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, Soy LECITHIN{EMULSIFIER}, VANILLA EXTRACT),), CORN STARCH, MOLASSES, SALT, NATURAL FLAVOR, Soy LECITHIN, BAKING SODA], CORN SYRUP, WHEY, DARK CHOCOLATE FLAVORED CHUNK [SUGAR, COCONUT OIL, COCOA PROCESSED WITH ALKALI,COCOA POWDER, MilkFAT, Soy LECITHIN (EMULSIFIER), VANILLA EXTRACT, NATURAL FLAVOR], COOKIE DOUGH FLAVOR [SUGAR, HIGH FRUCTOSE CORN SYRUP, WATER, CORN SYRUP, SALT, NATURAL FLAVOR, MOLASSES, CARAMEL COLOR], STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], ANNATTO EXTRACT (COLOR), SEA SALT. CONTAINS: Milk, WHEAT, Soy.","Milk, Soy, Wheat",9,2/3  cup (94g),210,,11g,,14%,,7g,,35%,,0g,,0%,,25mg,,0%,,90mg,,0%,,27g,,0%,,0g,,0%,,21g,,16g,,0%,,3g,,0%,,0mg,,0%,,104mg,,0%,,0mg,,0%,,174mg,,0%,,,,x,,,,,,,,,,,,x,,,,,,,,,X,,
Chocolate ,scround,Chocolate Ice Cream,"INGREDIENTS: NONFAT Milk' BUTTERMilk, CREAM, SUGAR, CORN SYRUP, COCOA, PROCESSED WITH ALKALI ' WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM' POLYSORBATE 80, CARRAGEENAN], SEA SALT. CONTAINS: Milk.",Milk,9,2/3  cup (88g),180,,10g,,13%,,6g,,30%,,0g,,0%,,25mg,,0%,,65mg,,0%,,21g,,0%,,1g,,0%,,17g,,12g,,0%,,3g,,0%,,0mg,,0%,,102mg,,0%,,1mg,,0%,,275mg,,0%,,,,x,,,,,,,,,,,,x,,,,,,,,X,X,,
Chocolate Malt,scround,Malt flavored ice cream. ,"INGREDIENTS: NONFAT Milk, BUTTERMilk, CREAM, SUGAR, CORN SYRUP, MALT Milk POWDER [MALTED BARLEY, WHEAT, WATER, Milk, HYDROLYZED WHEAT GLUTEN, SODIUM BICARBONATE, SALT], WHEY, COCOA PROCESSED WITH ALKALI, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, CARAMEL COLOR, SEA SALT. CONTAINS: Milk, WHEAT.",Milk Wheat,9,2/3  cup (87g),180,,10g,,13%,,7g,,35%,,0g,,0%,,25mg,,0%,,80mg,,0%,,22g,,0%,,0g,,0%,,18g,,13g,,0%,,3g,,0%,,0mg,,0%,,97mg,,0%,,0mg,,0%,,185mg,,0%,,,,x,,,,,,,,,,,,x,,,,,,,,X,X,,
Chocolate PB Swirl,scround,Chocolate Ice Cream with a Peanut Butter Swirl,"INGREDIENTS: NONFAT Milk, BUTTERMilk, CREAM, SUGAR, Peanut BUTTER SWIRL [PeanutS, SUGAR, Peanut OIL, SALT], CORN SYRUP, COCOA PROCESSED WITH ALKALI, WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], SEA SALT. CONTAINS: Milk, PeanutS.","Milk, Peanuts",9,2/3  cup (94g),240,,14g,,18%,,7g,,35%,,0g,,0%,,25mg,,0%,,140mg,,0%,,22g,,0%,,2g,,0%,,17g,,12g,,0%,,5g,,0%,,0mg,,0%,,101mg,,0%,,1mg,,0%,,323mg,,0%,,,,x,,,,,,,,,,,,x,,,,x,,,,,,,
Coconut Explosion,scround,"Coconut Flavored Ice Cream with Chocolate Covered Coconut Pieces, Coconut Flakes, and Chocolate Covered Almonds","INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CORN SYRUP, DARK CHOCOLATE ALMONDS [ALMONDS, DARK CHOCOLATE (CHOCOLATE LIQUOR, SUGAR, COCOA BUTTER, Soy LECITHIN {EMULSIFIER}, VANILLA), COTTONSEED OIL], SHREDDED COCONUT [DESICCATED COCONUT, SUGAR, WATER, SALT], COATED COCONUT PIECES [SUGAR, COCONUT, COCONUT OIL, COCOA POWDER, DEXTROSE, SALT, COCOA PROCESSED WITH ALKALI, Soy LECITHIN (EMULSIFIER)], WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], ARTIFICIAL FLAVOR, SEA SALT. CONTAINS: Milk, TREENUTS, Soy.","Milk, Soy, Tree Nuts",9,2/3  cup (91g),220,,13g,,17%,,8g,,40%,,0g,,0%,,25mg,,0%,,70mg,,0%,,23g,,0%,,1g,,0%,,18g,,13g,,0%,,3g,,0%,,0mg,,0%,,110mg,,0%,,0mg,,0%,,209mg,,0%,,,,x,,,,,,,,,,,,x,,,,,,x,,X,,,
Cookies N Cream ,scround,Crushed Cookies Blended in Vanilla Ice Cream,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR,· CORN SYRUP, CHOCOLATE SANDWICH COOKIE [SUGAR, ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, VITAMIN B1 {THIAMINE MONONITRATE}, VITAMIN B2 {RIBOFLAVIN}, FOLICACID) .. SoyBEAN AND PALM OIL WITH TBHQFORFRESHNESS,COCOAPROCESSED WITH ALKALI, INVERT SUGAR, CONTAINS 2% ORLESS OF DEGERMINATED YELLOW CORN FLOUR,CORNSTARCH, CHOCOLATE, LEAVENING (BAKING SODA,MONOCALCIUM PHOSPHATE),SALT, ARTIFICIAL FLAVOR, Soy LECITHIN (EMULSIFIER), WHEY], WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, SEA SALT. CONTAINS: Milk, Soy, WHEAT.","Milk, Soy, Wheat",9,2/3  cup (90g),200,,11g,,14%,,7g,,35%,,0g,,0%,,25mg,,0%,,90mg,,0%,,24g,,0%,,0g,,0%,,18g,,13g,,0%,,3g,,0%,,0mg,,0%,,108mg,,0%,,0mg,,0%,,172mg,,0%,,,,x,,,,,,,,,,,,x,x,,,,,,,,X,,
Elephant Tracks,scround,Pieces of Peanut Butter Cups and Chocolate Fudge Swirled in Chocolate Ice Cream,"INGREDIENTS: NONFAT Milk, BUTTERMilk, CREAM, SUGAR, CHOCOLATE FUDGE SWIRL (CORN SWEETENERS (HIGH FRUCTOSE CORN SYRUP, CORN SYRUP), WATER, SUGAR, SWEETENED CONDENSED SKIM Milk ( SKIM Milk, SUGAR, CORN SYRUP), COCOA PROCESSED WITH ALKALI, BUTTER (CREAM, SALT), WHEY, CHOCOLATE LIQUOR, MODIFIED CORN STARCH, SODIUM ALGINATE, NATURAL AND ARTIFICIAL FLAVORS], CORN SYRUP, Peanut BUTTER CUPS [Milk CHOCOLATE (SUGAR, COCOA BUTTER, CHOCOLATE, Milk, Soy LECITHIN {EMULSIFIER}, VANILLA EXTRACT),), Peanut BUTTER (PeanutS, SUGAR, PALM KERNEL OIL, LACTOSE, SALT, Soy LECITHIN {EMULSIFIER})], COCOA A PROCESSED WITH ALKALI, WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], SEA SALT. CONTAINS: Milk, Soy, Peanut.","Milk, Peanut, Soy",9,2/3  cup (96g),230,,11g,,14%,,7g,,35%,,0g,,0%,,25mg,,0%,,80mg,,0%,,28g,,0%,,1g,,0%,,23g,,17g,,0%,,4g,,0%,,0mg,,0%,,105mg,,0%,,1mg,,0%,,310mg,,0%,,,,x,,,,,,,,,,,,x,,,,,,,,X,,,
French Vanilla,scround,French Vanilla Flavored Ice Cream,"INGREDIENTS: NONFAT Milk, CREAM,SUGAR,CORNSYRU PASTEURIZED SUGARED EGG YOLKS [PASTEURIZED EGG YOLKS, SUGAR], BUTTERMilk, WHEY, VANILLA EXTRACT, ARTIFICIAL FLAVOR, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], ANNATTO EXTRACT (COLOR), SEA SALT. CONTAINS: Milk, EGGS.","Milk, Eggs",9,2/3  cup (88g),180,,10g,,13%,,6g,,30%,,0g,,0%,,60mg,,0%,,65mg,,0%,,20g,,0%,,0g,,0%,,16g,,11g,,0%,,3g,,0%,,0mg,,0%,,117mg,,0%,,0mg,,0%,,167mg,,0%,,,,x,,,,,,,,,,,,,,,,,,,x,X,X,,
Lady Bug,scround,Vanilla Ice Cream with Chocolate and Caramel Swirls and Pecans,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CARAMEL SWIRL [CORN (CORN AND HIGH FRUCTOSE CORN SYRUPS), SWEETENED CONDENSED SKIM Milk (SKIM Milk, SUGAR, CORN SYRUP), WATER, CREAM, BUTTER (CREAM, SALT), SUGAR, CONTAINS 2% OR LESS OF SALT, SODIUM ALGINATE, XANTHAN GUM, MONO AND DIGLYCERIDES, NATURAL FLAVORS, SODIUM BICARBONATE, SODIUM CITRATE], CHOCOLATE FLAVORED FUDGE SWIRL [CORN SWEETENERS (HIGH FRUCTOSE CORN SYRUP, CORN SYRUP), WATER, SUGAR, SWEETENED CONDENSED SKIM Milk (SKIM Milk, SUGAR, CORN SYRUP), COCOA PROCESSED WITH ALKALI, BUTTER (CREAM, SALT), WHEY POWDER, CHOCOLATE LIQUOR, MODIFIED CORN STARCH, SODIUM ALGINATE, NATURALAND ARTIFICIAL FLAVORS], PECANS [PECANS, COTTONSEED OIL, BUTTER(CREAM,NATURAL FLAVORING), SALT], CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, SEA SALT, ANNATTO EXTRACT (COLOR). CONTAINS: Milk, TREENUTS (PECANS).","Milk, Tree Nuts ",9,2/3  cup (95g),230,,14g,,18%,,7g,,35%,,0g,,0%,,25mg,,0%,,95mg,,0%,,25g,,0%,,1g,,0%,,20g,,15g,,0%,,3g,,0%,,0mg,,0%,,110mg,,0%,,0mg,,0%,,205mg,,0%,,,,x,,,,,,,,,,,x,x,,,,,,x,x,X,,,
Mackinac Island Fudge,scround,Vanilla Ice Cream with Chewy Fudge Pieces and Swirled with Butter Fudge Sauce ,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, BUTTER FUDGE SWIRL [CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, BUTTERMilk, SUGAR, SKIM Milk, CHOCOLATE LIQUOR, WHEY, BUTTER (CREAM, SALT), COCOA PROCESSED WITH ALKALI, PECTIN, MONO & DIGLYCERIDES, SALT, Soy LECITHIN, XANTHAN GUM, NATURAL FLAVOR], FUDGE PIECE [SUGAR, COCONUT OIL, COCOA PROCESSED WITH ALKALI, Peanut OIL (REFINED), COCOA, NATURAL FLAVOR, Soy LECITHIN], CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, SEA SALT, ANNATTO EXTRACT COLOR. CONTAINS: Milk, Soy.","Milk, Soy",9,2/3  cup (95g),220,,11g,,14%,,8g,,40%,,0g,,0%,,25mg,,0%,,75mg,,0%,,27g,,0%,,1g,,0%,,23g,,17g,,0%,,3g,,0%,,0mg,,0%,,110mg,,0%,,0mg,,0%,,201mg,,0%,,,,x,,,,,,,,,,,,x,,,,x,,,,X,X,,
